trade_date,open,high,low,close,volume
2023-01-03,721.8599853515625,732.4299926757812,719.3499755859375,720.469970703125,508500
2023-01-04,728.1900024414062,731.8099975585938,719.1699829101562,726.489990234375,517200
2023-01-05,724.6900024414062,730.5599975585938,718.75,723.760009765625,499800
2023-01-06,730.739990234375,747.7000122070312,721.7899780273438,737.1500244140625,602400
2023-01-09,693.1300048828125,708.2100219726562,668.0,680.489990234375,1664400
2023-01-10,676.3699951171875,707.2100219726562,675.0,698.9500122070312,793200
2023-01-11,698.9000244140625,711.4299926757812,694.530029296875,709.9400024414062,592600
2023-01-12,707.0,715.7899780273438,697.1300048828125,714.5700073242188,538800
2023-01-13,714.6699829101562,724.989990234375,709.5800170898438,722.1300048828125,489500
2023-01-17,722.1300048828125,731.3499755859375,714.1099853515625,728.1099853515625,641000
2023-01-18,725.1699829101562,729.3300170898438,722.219970703125,724.5499877929688,487500
2023-01-19,729.3900146484375,730.0,715.4099731445312,715.5700073242188,583800
2023-01-20,723.1599731445312,725.8699951171875,713.469970703125,722.0,939800
2023-01-23,721.530029296875,732.8900146484375,718.3400268554688,729.9099731445312,569900
2023-01-24,731.010009765625,732.3099975585938,722.469970703125,727.469970703125,326400
2023-01-25,729.489990234375,743.9299926757812,726.2100219726562,741.1799926757812,584300
2023-01-26,741.1799926757812,745.5999755859375,735.0,742.2999877929688,346400
2023-01-27,745.6099853515625,748.280029296875,740.27001953125,742.8300170898438,417600
2023-01-30,749.0,749.0,732.5,736.4600219726562,499500
2023-01-31,739.27001953125,759.0,739.27001953125,758.469970703125,816400
2023-02-01,752.1900024414062,762.0999755859375,751.27001953125,758.0,802100
2023-02-02,749.2000122070312,758.719970703125,741.4500122070312,751.2000122070312,935200
2023-02-03,764.489990234375,789.9500122070312,758.6300048828125,783.1300048828125,1448500
2023-02-06,784.780029296875,800.47998046875,778.52001953125,780.8599853515625,1064700
2023-02-07,765.6799926757812,778.0499877929688,763.1500244140625,769.9400024414062,885900
2023-02-08,766.3400268554688,768.260009765625,748.1199951171875,749.6599731445312,617500
2023-02-09,751.2899780273438,757.52001953125,743.7100219726562,744.77001953125,524500
2023-02-10,746.1199951171875,762.72998046875,740.8400268554688,757.6099853515625,606800
2023-02-13,755.8699951171875,767.739990234375,754.1799926757812,763.969970703125,494800
2023-02-14,764.52001953125,767.52001953125,749.219970703125,754.2100219726562,486000
2023-02-15,753.780029296875,756.0800170898438,747.7000122070312,752.4000244140625,341100
2023-02-16,737.0,747.5599975585938,735.47998046875,736.3300170898438,555300
2023-02-17,738.1599731445312,755.0900268554688,733.3300170898438,748.739990234375,492700
2023-02-21,748.0900268554688,752.469970703125,744.1500244140625,746.52001953125,411700
2023-02-22,748.6799926757812,755.3900146484375,744.9299926757812,748.0800170898438,415500
2023-02-23,744.8099975585938,765.0,744.280029296875,759.6599731445312,553300
2023-02-24,753.8099975585938,765.2899780273438,752.0,756.989990234375,525900
2023-02-27,761.1699829101562,771.6500244140625,756.969970703125,757.7899780273438,557100
2023-02-28,756.4500122070312,765.4400024414062,753.6300048828125,760.4199829101562,622700
2023-03-01,759.8900146484375,772.9400024414062,757.3800048828125,770.4400024414062,586000
2023-03-02,768.219970703125,772.6599731445312,762.8499755859375,768.9000244140625,425200
2023-03-03,771.4199829101562,779.8400268554688,766.3499755859375,779.2999877929688,604800
2023-03-06,777.989990234375,785.280029296875,774.8499755859375,780.3800048828125,469500
2023-03-07,782.0,783.5900268554688,772.510009765625,773.8499755859375,757900
2023-03-08,774.1300048828125,774.1300048828125,744.0,745.2000122070312,670300
2023-03-09,745.739990234375,755.239990234375,738.77001953125,743.75,600000
2023-03-10,746.7899780273438,759.25,744.0599975585938,747.0,505300
2023-03-13,749.1699829101562,769.2000122070312,748.280029296875,752.3300170898438,505200
2023-03-14,755.3900146484375,769.97998046875,754.2000122070312,766.7999877929688,535500
2023-03-15,760.8099975585938,766.1599731445312,755.0,760.2999877929688,499300
2023-03-16,753.0800170898438,753.0800170898438,725.6599731445312,749.75,1023900
2023-03-17,749.9199829101562,754.3200073242188,743.9500122070312,747.6500244140625,893600
2023-03-20,748.6599731445312,760.3300170898438,745.7899780273438,759.25,587800
2023-03-21,764.6500244140625,765.010009765625,751.97998046875,759.760009765625,372100
2023-03-22,760.2999877929688,764.3900146484375,751.010009765625,751.2999877929688,322900
2023-03-23,806.469970703125,812.6900024414062,790.489990234375,802.1599731445312,1994000
2023-03-24,805.0499877929688,824.0,801.010009765625,820.0,1129400
2023-03-27,821.3800048828125,832.47998046875,817.8699951171875,820.4099731445312,802000
2023-03-28,824.0,827.3599853515625,819.219970703125,826.969970703125,362500
2023-03-29,830.0,835.0,818.2899780273438,819.3499755859375,459200
2023-03-30,816.010009765625,825.0800170898438,804.6400146484375,811.5,625800
2023-03-31,814.9000244140625,822.52001953125,810.9500122070312,821.6699829101562,866200
2023-04-03,818.7999877929688,826.5599975585938,815.5900268554688,826.1900024414062,451400
2023-04-04,825.8499755859375,830.6699829101562,820.010009765625,822.0900268554688,398000
2023-04-05,824.7000122070312,837.5499877929688,823.8599853515625,825.219970703125,560000
2023-04-06,823.4299926757812,834.0,823.4299926757812,828.72998046875,550000
2023-04-10,824.3699951171875,826.0700073242188,815.8200073242188,823.760009765625,377100
2023-04-11,822.9400024414062,825.5999755859375,817.4400024414062,819.6400146484375,291400
2023-04-12,824.9600219726562,827.7999877929688,816.8900146484375,820.4299926757812,414200
2023-04-13,822.4500122070312,834.1199951171875,822.4500122070312,830.3499755859375,471900
2023-04-14,828.8400268554688,831.3300170898438,821.8800048828125,829.3300170898438,456900
