timestamp,ADA-USDT,AVAX-USDT,BNB-USDT,BTC-USDT,ETH-USDT,SOL-USDT,XRP-USDT
2018-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
